Source_pop,Treatment,Treat_rep,Ind_rep,Gravid_1_date,Gravid_2_date,Gravid_3_date,Gravid_4_date,Gravid_5_date
Low,L,4,10,11/2/18,11/2/18,,,
Low,L,4,11,,,,,
Low,L,4,12,,,,,
Low,L,4,13,11/2/18,11/2/18,11/2/18,11/2/18,11/4/18
Low,L,4,14,11/5/18,,,,
Low,L,4,15,11/1/18,,,,
Low,L,4,16,,,,,
Low,L,4,17,10/30/18,10/31/18,,,
Low,L,5,1,,,,,
Low,L,5,2,10/25/18,,,,
Low,L,5,3,,,,,
Low,L,5,4,,,,,
Low,L,5,5,11/3/18,,,,
Low,L,5,6,,,,,
Low,L,5,7,,,,,
Low,L,5,8,10/29/18,10/30/18,11/1/18,,
Low,L,5,9,10/31/18,11/2/18,11/7/18,,
Low,L,5,10,11/14/18,11/15/18,,,
Low,L,5,11,,,,,
Low,L,5,12,,,,,
Low,L,5,13,,,,,
Low,L,5,14,11/11/18,11/14/18,11/14/18,,
Low,L,5,15,,,,,
Low,L,5,16,,,,,
Low,L,5,17,,,,,
Low,L,5,18,11/6/18,11/7/18,11/10/18,11/11/18,11/11/18
High,L,1,1,,,,,
High,L,1,2,,,,,
High,L,1,3,,,,,
High,L,1,4,11/6/18,11/8/18,,,
High,L,1,5,,,,,
High,L,1,6,,,,,
High,L,1,7,10/27/18,10/27/18,11/2/18,,
High,L,1,8,,,,,
High,L,1,9,10/28/18,10/29/18,10/29/18,11/1/18,
High,L,1,10,11/5/18,,,,
High,L,1,11,11/10/18,11/25/18,,,
High,L,1,12,,,,,
High,L,1,13,10/30/18,,,,
High,L,1,14,10/31/18,10/31/18,11/1/18,11/3/18,11/6/18
High,L,1,15,11/10/18,11/11/18,11/12/18,,
High,L,1,16,10/31/18,11/5/18,11/5/18,,
High,L,1,17,10/31/18,11/1/18,11/1/18,11/4/18,11/4/18
High,L,1,18,,,,,
High,L,2,1,10/30/18,10/31/18,11/8/18,,
High,L,2,2,10/28/18,,,,
High,L,2,3,10/31/18,10/31/18,10/31/18,10/31/18,11/1/18
High,L,2,4,10/30/18,11/1/18,11/2/18,11/2/18,11/4/18
High,L,2,5,,,,,
High,L,2,6,,,,,
High,L,2,7,10/29/18,11/2/18,11/7/18,,
High,L,2,8,,,,,
High,L,2,9,,,,,
High,L,2,10,10/30/18,11/1/18,,,
High,L,2,11,10/27/18,11/2/18,11/8/18,,
High,L,2,12,,,,,
High,L,2,13,,,,,
High,L,2,14,,,,,
High,L,2,15,11/19/18,,,,
High,L,2,16,11/19/18,,,,
High,L,2,17,11/1/18,11/5/18,,,
High,L,2,18,11/2/18,11/14/18,,,
High,L,2,19,,,,,
High,L,2,20,10/30/18,10/31/18,10/31/18,,
High,L,2,21,11/6/18,,,,
High,L,3,1,,,,,
High,L,3,2,10/31/18,,,,
High,L,3,3,,,,,
High,L,3,4,,,,,
High,L,3,5,10/31/18,11/18/18,11/18/18,,
High,L,3,6,,,,,
High,L,3,7,10/28/18,10/29/18,10/31/18,,
High,L,3,8,,,,,
High,L,3,9,11/18/18,11/19/18,11/25/18,11/25/18,11/25/18
High,L,3,10,,,,,
High,L,3,11,,,,,
High,L,3,12,,,,,
High,L,3,13,10/31/18,10/31/18,11/1/18,11/2/18,11/2/18
High,L,3,14,,,,,
High,L,3,15,,,,,
High,L,4,1,11/6/18,11/8/18,11/8/18,11/11/18,
High,L,4,2,,,,,
High,L,4,3,11/1/18,11/10/18,11/12/18,11/19/18,
High,L,4,4,,,,,
High,L,4,5,11/1/18,11/1/18,11/1/18,11/1/18,11/4/18
High,L,4,6,,,,,
High,L,4,7,10/31/18,11/8/18,11/10/18,11/14/18,
High,L,4,8,11/15/18,11/18/18,11/19/18,,
High,L,4,9,11/18/18,11/18/18,11/19/18,,
High,L,4,10,10/29/18,11/14/18,11/16/18,11/19/18,
High,L,4,11,11/14/18,11/14/18,,,
High,L,4,12,11/2/18,11/5/18,11/7/18,,
High,L,4,13,,,,,
High,L,4,14,11/6/18,11/11/18,,,
High,L,4,15,11/20/18,,,,
Low,S,1,1,11/7/18,11/15/18,,,
Low,S,1,2,10/26/18,10/30/18,10/30/18,10/30/18,
Low,S,1,3,11/3/18,11/7/18,11/10/18,,
Low,S,1,4,,,,,
Low,S,1,5,,,,,
Low,S,1,6,,,,,
Low,S,1,7,,,,,
Low,S,1,8,,,,,
Low,S,1,9,,,,,
Low,S,1,10,,,,,
Low,S,1,11,11/5/18,11/5/18,11/7/18,,
Low,S,1,12,11/2/18,11/3/18,11/3/18,11/6/18,11/6/18
Low,S,1,13,11/3/18,,,,
Low,S,1,14,11/2/18,,,,
Low,S,1,15,11/16/18,,,,
Low,S,1,16,10/29/18,10/29/18,10/29/18,,
Low,S,1,17,,,,,
Low,S,1,18,11/25/18,,,,
Low,S,1,19,11/2/18,,,,
Low,S,1,20,,,,,
Low,S,2,1,10/29/18,,,,
Low,S,2,2,,,,,
Low,S,2,3,,,,,
Low,S,2,4,10/28/18,,,,
Low,S,2,5,,,,,
Low,S,2,6,11/7/18,,,,
Low,S,2,7,,,,,
Low,S,2,8,,,,,
Low,S,2,9,,,,,
Low,S,2,10,,,,,
Low,S,2,11,11/6/18,11/7/18,11/10/18,11/11/18,
Low,S,2,12,10/26/18,,,,
Low,S,2,13,10/31/18,10/31/18,,,
Low,S,2,14,10/30/18,10/31/18,11/3/18,,
Low,S,2,15,11/8/18,11/16/18,,,
Low,S,2,16,10/26/18,,,,
Low,S,2,17,,,,,
Low,S,3,1,,,,,
Low,S,3,2,11/2/18,11/12/18,11/13/18,11/13/18,
Low,S,3,3,,,,,
Low,S,3,4,,,,,
Low,S,3,5,,,,,
Low,S,3,6,,,,,
Low,S,3,7,26-Oct,11/6/18,11/10/18,11/15/18,
Low,S,3,8,11/10/18,,,,
Low,S,3,9,,,,,
Low,S,3,10,,,,,
Low,S,3,11,10/29/18,10/31/18,11/3/18,11/6/18,
Low,S,3,12,10/30/18,11/18/18,11/21/18,,
Low,S,3,13,,,,,
Low,S,3,14,,,,,
Low,S,3,15,10/28/18,10/28/18,10/31/18,11/8/18,11/8/18
Low,S,3,16,11/1/18,,,,
Low,S,3,17,11/9/18,11/9/18,11/10/18,11/12/18,
Low,S,3,18,,,,,
Low,S,3,19,,,,,
Low,S,3,20,11/5/18,11/6/18,,,
Low,S,4,1,,,,,
Low,S,4,2,10/25/18,10/31/18,,,
Low,S,4,3,10/31/18,,,,
Low,S,4,4,,,,,
Low,S,4,5,10/31/18,,,,
Low,S,4,6,,,,,
Low,S,4,7,11/25/18,,,,
Low,S,4,8,,,,,
Low,S,4,9,,,,,
Low,S,4,10,,,,,
Low,S,4,11,,,,,
Low,S,4,12,,,,,
Low,S,4,13,,,,,
Low,S,4,14,,,,,
Low,S,4,15,,,,,
Low,S,4,16,10/27/18,,,,
Low,S,4,17,,,,,
Low,S,4,18,,,,,
Low,S,4,19,,,,,
Low,S,4,20,,,,,
High,S,1,1,,,,,
High,S,1,2,,,,,
High,S,1,3,,,,,
High,S,1,4,,,,,
High,S,1,5,10/31/18,,,,
High,S,1,6,,,,,
High,S,1,7,10/26/18,,,,
High,S,1,8,,,,,
High,S,1,9,,,,,
High,S,1,10,,,,,
High,S,1,11,,,,,
High,S,1,12,,,,,
High,S,1,13,,,,,
High,S,1,14,,,,,
High,S,1,15,,,,,
High,S,2,1,11/2/18,,,,
High,S,2,2,11/1/18,11/1/18,11/2/18,11/3/18,
High,S,2,3,11/1/18,11/6/18,11/19/18,,
High,S,2,4,11/2/18,11/19/18,,,
High,S,2,5,,,,,
High,S,2,6,11/13/18,11/13/18,11/15/18,,
High,S,2,7,,,,,
High,S,2,8,10/31/18,10/31/18,,,
High,S,2,9,11/15/18,,,,
High,S,2,10,,,,,
High,S,2,11,11/25/18,,,,
High,S,2,12,,,,,
High,S,2,13,11/4/18,11/4/18,11/4/18,,
High,S,2,14,10/31/18,10/31/18,11/3/18,,
High,S,2,15,10/31/18,11/1/18,11/1/18,11/3/18,
High,S,2,16,11/5/18,11/10/18,11/11/18,,
High,S,2,17,10/29/18,11/5/18,11/7/18,11/8/18,
High,S,2,18,11/4/18,11/4/18,11/5/18,11/8/18,
High,S,2,19,,,,,
High,S,3,1,11/18/18,,,,
High,S,3,2,11/6/18,11/8/18,11/8/18,11/9/18,11/9/18
High,S,3,3,,,,,
High,S,3,4,,,,,
High,S,3,5,11/18/18,11/18/18,,,
High,S,3,6,11/10/18,11/14/18,11/18/18,11/18/18,
High,S,3,7,11/13/18,11/14/18,11/20/18,,
High,S,3,8,11/2/18,11/3/18,,,
High,S,3,9,,,,,
High,S,3,10,,,,,
High,S,3,11,,,,,
High,S,3,12,11/15/18,11/15/18,11/18/18,11/19/18,
High,S,3,13,,,,,
High,S,3,14,11/10/18,11/11/18,,,
High,S,3,15,10/29/18,11/1/18,11/3/18,11/5/18,11/6/18
High,S,3,16,11/7/18,11/7/18,11/9/18,11/12/18,11/12/18
High,S,3,17,11/3/18,11/3/18,11/5/18,11/5/18,
High,S,3,18,10/31/18,,,,
High,S,3,19,,,,,
High,S,3,20,,,,,
High,S,4,1,,,,,
High,S,4,2,,,,,
High,S,4,3,,,,,
High,S,4,4,,,,,
High,S,4,5,,,,,
High,S,4,6,,,,,
High,S,4,7,,,,,
High,S,4,8,,,,,
High,S,4,9,,,,,
High,S,4,10,,,,,
High,S,4,11,,,,,
High,S,4,12,,,,,
High,S,4,13,,,,,
High,S,4,14,,,,,
High,S,4,15,11/6/18,,,,
High,S,4,16,,,,,
High,S,4,17,,,,,
High,S,4,18,,,,,
High,S,4,19,,,,,
High,S,4,20,,,,,
